ID_plot,TLU,ID_plot_cor,Key,X,Y,dead_1h,dead_10h,dead_100h,dead_1000h_old,dead_1000h_fresh,dead_1000h,duff,litter,herbs,shrubs,dead_1h_total,herb_height,shrub_height
526905,B2,526905,526905,30.0831024731641,50.2825227128815,1.145442739104,11.577162530879999,17.251105766400002,5.091336,0,5.091336,21.311475409836063,4.133116883116883,0.44450000000000006,2.5059375,5.278559622220883,5.55625,13.421875
527101,C2,527101,527101,30.0955923629596,50.2860358844369,0.7310241301248,3.5470455413759994,6.273129369600001,14.494593600000004,0,14.494593600000004,18.874285714285715,4.453645833333334,0.1751,6.890625000000001,5.184669963458134,2.1887499999999998,38.28125
527111,C2,527111,527111,30.0996574753292,50.2861588558403,0.6280629850368,3.5470455413759994,6.9004423065600005,3.4256520000000004,4.1532102,7.5788622000000005,13.373333333333333,1.4482758620689657,0.55125,2.356875,2.0763388471057658,6.890625,11.28125
528503,C2,528503,528503,30.1044564940764,50.283768639266,0.634927061376,3.4485164985599988,7.318650931199999,2.6818560000000007,0,2.6818560000000007,22.220924369747898,3.003846153846154,0.23625,3.189375,3.638773215222154,2.9531249999999996,17
529902,C2,529902,529902,30.1070123110007,50.2798081048728,0.6324756055405715,2.252092407222857,0.8961613385142856,0,0,0,18.569787234042554,2.987916666666667,0.526,11.553749999999999,3.6203922722072384,6.575,64.1875
528610,C2,528610,528610,30.1114192750302,50.2822046587656,1.1325725959680002,2.70954867744,2.3524235136000007,0,0,0,8.262079207920792,2.773076923076923,0.17325000000000002,11.182500000000001,3.905649519044923,2.165625,22.375
528602,C2,528602,528602,30.1105786690989,50.284443669494,2.599768913472,4.9264521407999995,3.1365646847999997,0,0,0,10.818715596330275,2.8057608695652174,0.014950000000000001,22.376250000000006,5.405529783037217,0.186875,36.0625
538501,B2,538501,538501,30.0062127137949,50.2336193523893,0.9369464203007999,2.9558712844799997,12.546258739200002,17.649964800000003,2.4136704,20.063635200000004,44.0627659574468,3.671111111111111,0.3735,9.916875000000001,4.608057531411911,4.668749999999999,54.78125
538505,B2,538505,538505,30.00657427257,50.230969207671,1.016741307744,5.172774747839998,3.1365646847999997,5.672754,9.239832000000002,14.912586000000001,16.256528925619833,4.702268041237114,0.17350000000000002,1.305,5.719009348981114,2.1687499999999997,7.25
540001,B2,540001,540001,30.0073783304844,50.2284283835435,0.669247443072,2.9558712844799993,9.4096940544,3.0380400000000005,6.99273,10.03077,18.0334,3.7000000000000006,1.1427500000000002,8.015625,4.369247443072001,14.284375,44.53125
540005,B2,540005,540005,30.008574221782,50.2262525690542,1.5058067469119998,9.852904281599999,11.762117568,7.841286,3.017088,10.858374000000001,13.186666666666666,2.9446153846153846,0.321,2.9981250000000004,4.450422131527384,4.012499999999999,16.53125
541405,B2,541405,541405,30.0092814699914,50.2239368747912,1.016741307744,3.94116171264,2.3524235136000007,4.022784000000001,0,4.022784000000001,29.417241379310347,2.632112676056338,0.06325000000000001,10.648125,3.648853983800338,0.790625,2.875
541406,B2,541406,541406,30.0132615524164,50.2242382731153,0.862299590112,6.65071039008,4.704847027200001,0,12.068352,12.068352,22.660504201680673,5.232051282051283,0.17850000000000002,1.479375,6.094350872163283,2.2312499999999997,1.5
541501,B2,541501,541501,30.0172870058497,50.2246209621834,0.7722085881599999,5.517626397696,12.546258739200002,3.2182272000000007,0,3.2182272000000007,11.315555555555553,5.121340206185567,0.061,4.342499999999999,5.893548794345567,0.7625,24.125
540113,C2,540113,540113,30.0193536603847,50.2266843462263,1.15831288224,5.41909735488,3.9207058560000005,0,6.788448000000001,6.788448000000001,9.759036144578314,2.565652173913043,0.21250000000000002,13.13775,3.723965056153043,2.65625,55.0625
540103,B2,540103,540103,30.0198079335134,50.2297775561828,0.7207280156160001,4.926452140799999,6.273129369600001,7.542720000000002,6.12846,13.671180000000001,15.342,4.376122448979592,0.5315000000000001,2.51325,5.096850464595592,6.643750000000001,13.9625
538612,B2,538612,538612,30.019367672144,50.2320693005144,0.720728015616,3.9411617126399996,3.1365646848000006,4.232304000000001,0,4.232304000000001,12.408058252427185,5.00625,0.08275000000000002,3.2489999999999997,5.726978015616,1.034375,1.8
538610,B2,538610,538610,30.0157327123958,50.231333053136,1.209793454784,3.6948391056,12.546258739199999,8.312706000000002,22.816728,31.129434000000003,13.417402597402598,5.048421052631579,0.24625000000000002,21.375,6.2582145074155795,3.078125,114.8125
538601,B2,538601,538601,30.0136373195609,50.2343764135297,0.7464683018880001,3.4485164985599988,1.5682823424000003,2.6818560000000007,0,2.6818560000000007,9.925238095238097,2.8941573033707866,0.666,1.5918750000000002,3.6406256052587866,8.325,1.78125
537101,B2,537101,537101,30.0119262820497,50.2378552906538,0.6949877293440001,4.43380692672,6.273129369600001,0,0,0,2.7933962264150947,1.8827272727272728,0.132,7.29,2.577715002071273,1.65,36.84375
209809,C2,209809,209809,30.2359457858574,50.3331913816475,0.8442813897216,5.517626397696,1.2546258739199998,4.123353600000001,3.9222144000000005,8.045568000000001,15.19,4.412327586206898,0.09400000000000001,2.6718749999999996,5.256608975928498,1.175,12.59375
209706,C2,209706,209706,30.2308963123902,50.3360940937051,0.9395204489280001,6.158065175999998,10.193835225599999,7.197012000000001,5.327046,12.524058,19.96278260869565,3.3634313725490195,0.39825,5.4225,4.30295182147702,4.978125,27.28125
