ID_plot,TLU,ID_plot_cor,Key,X,Y
538301,B2,538301,538301,30.1017655054553,50.2518370976991
541305.N3,C2,541305,541305,30.1097956072407,50.2425515128812
541301.1,B2,541301,541301,30.1038646680886,50.2425854892337
541203,B2,541203,541203,30.0998382210775,50.240284798394804
542609,B2,542609,542609,30.1032414285853,50.2364813172865
556710,B2,556710,556710,30.1512659383745,50.1942816154376
556704.1,B2,556704,556704,30.1477887738637,50.1933573566339
558311.1,B2,558311,558311,30.1571315861841,50.1894308975528
538303.1,C2,538303,538303,30.1060927023727,50.2529260263805
207303,B2,207303,207303,30.1578862789539,50.3061859954692
533617,B2,533617,533617,30.0675224617931,50.266100860186
206708,C2,206708,206708,30.1529919892827,50.3088508625019
524917,C2,524917,524917,30.0956229357221,50.2946415877209
525920,C2,525920,525920,30.0970090735574,50.2910080618836
527207,C2,527207,527207,30.1055976311626,50.2883499885137
205522,C2,205522,205522,30.1312221560634,50.3134078256703
535902,C2,535902,535902,30.0357079778556,50.248412491931
534901.1,C2,534901,534901,30.0391795034767,50.2537029403364
533117.1,C2,533117,533117,30.0317584795378,50.2598511127363
534420,B2,534420,534420,30.0691200533292,50.2599495042859
533508.N4,B2,533508,533508,30.0541000146323,50.2674990127432
541303.1,C2,541303,541303,30.1090088426695,50.2448834293602
554725,B2,554725,554725,30.1517868770994,50.196942414661
558106.1,B2,558106,558106,30.1443320561006,50.1884441195962
206202.1,C2,206202,206202,30.1460772547757,50.3123134073717
534706,C2,534706,534706,30.0289300495385,50.2490514708867
530906.1,C2,530906,530906,30.0853048316197,50.2708539232202
531002,C2,531002,531002,30.0932458927033,50.2710503480607
531008.1,C2,531008,531008,30.0976537506447,50.2706040242721
529821,C2,529821,529821,30.1019911404577,50.2753355936513
529714,C2,529714,529714,30.0977025506055,50.2745815116685
529702,C2,529702,529702,30.0914932272014,50.2753170038119
529607,C2,529607,529607,30.0876834385471,50.2749913212072
527103,C2,527103,527103,30.0969026949804,50.2882882210075
525913,C2,525913,525913,30.0937782128686,50.2895970963364
528403.N7,C2,528403,528403,30.1013508023419,50.2817901351167
526701,C2,526701,526701,30.0683930719345,50.2834858976678
556809,B2,556809,556809,30.1585910053347,50.1956832389474
